Approved symbol	Alias symbol	Previous symbol
ACIN1	fSAP152	ACINUS
ACKR1	CCBP1	FY
ACKR1	GPD	FY
ACKR1	Dfy	FY
ACKR1	CD234	FY
ACKR1	CCBP1	DARC
ACKR1	GPD	DARC
ACKR1	Dfy	DARC
ACKR1	CD234	DARC
ACKR2	CCR10	CMKBR9
ACKR2	D6	CMKBR9
ACKR2	CCR9	CMKBR9
ACKR2	CCR10	CCBP2
ACKR2	D6	CCBP2
ACKR2	CCR9	CCBP2
ACKR3	RDC1	CMKOR1
ACKR3	GPR159	CMKOR1
ACKR3	RDC1	CXCR7
ACKR3	GPR159	CXCR7
ACKR4	CCR11	CCRL1
ACKR4	CCBP2	CCRL1
ACKR4	VSHK1	CCRL1
ACKR4	CCX-CKR	CCRL1
ACKR4	PPR1	CCRL1
ACO1	IRP1	IREB1
ACO1	IREBP	IREB1
ACOD1	CAD	IRG1
ACOT6		C14orf42
ACOT8	hACTE-III	PTE1
ACOT8	hTE	PTE1
ACOT8	PTE-2	PTE1
ACOT8	NAP1	PTE1
ACOT11	STARD14	THEA
ACOT11	BFIT	THEA
ACOT11	KIAA0707	THEA
ACOT11	BFIT1	THEA
ACOT11	THEM1	THEA
ACOT13	HT012	THEM2
ACSL1	LACS2	FACL2
ACSL1	LACS	FACL2
ACSL1	ACS1	FACL2
ACSL1	LACS1	FACL2
ACSL1	FACL1	FACL2
ACSL3	ACS3	FACL3
ACSL3	PRO2194	FACL3
ACSL4	ACS4	FACL4
ACSL4	LACS4	FACL4
ACSL4	ACS4	MRX63
ACSL4	LACS4	MRX63
ACSL4	ACS4	MRX68
ACSL4	LACS4	MRX68
ACSL5	ACS5	FACL5
ACSL5	ACS2	FACL5
ACSL6	KIAA0837	FACL6
ACSL6	ACS2	FACL6
ACSL6	LACS5	FACL6
ACSL6	LACS2	FACL6
ACSM1	MACS1	BUCS1
ACSM2A	A-923A4.1	ACSM2
ACSM2A	MGC150530	ACSM2
ACSM2B	HXMA	ACSM2
ACSM2B	HYST1046	ACSM2
ACSM3	SA	SAH
ACSM6	bA310E22.3	C10orf129
ACSS1	dJ568C11.3	ACAS2L
ACSS1	AceCS2L	ACAS2L
ACSS1	MGC33843	ACAS2L
ACSS2	ACS	ACAS2
ACSS2	ACSA	ACAS2
ACSS2	AceCS	ACAS2
ACSS2	dJ1161H23.1	ACAS2
ACTA1	NEM3	ACTA
ACTBP12		ACTGP5
ACTC1	CMD1R	ACTC
ACTG1		ACTG
ACTG1		DFNA20
ACTG1		DFNA26
ACTG1P1		ACTGP1
ACTG1P1		ACT1GP1
ACTG1P2		ACTL2
ACTG1P2		ACTGP2
ACTG1P3		ACTGP3
ACTG1P4		ACTGP4
ACTG1P6		ACTGP6
ACTG1P7		ACTGP7
ACTG1P8		ACTGP8
ACTG1P9		ACTGP9
ACTG1P10		ACTL1
ACTG1P10		ACTGP10
ACTG1P24		POTENP
ACTG2	ACTSG	ACTL3
ACTG2	ACTSG	ACTA3
ACTL6B	BAF53B	ACTL6
ACTL10		C20orf134
ACTN1-AS1		C14orf84
ACTN4		FSGS1
ACTR1B	Arp1B	CTRN2
ACVR1	SKR1	ACVRLK2
ACVR1	ALK2	ACVRLK2
ACVR1	ACVR1A	ACVRLK2
ACVR1B	ALK4	ACVRLK4
ACVR1B	SKR2	ACVRLK4
ACVR1B	ActRIB	ACVRLK4
ACVR2A	ACTRII	ACVR2
ACVRL1	HHT2	ACVRLK1
ACVRL1	ALK1	ACVRLK1
ACVRL1	HHT	ACVRLK1
ACVRL1	HHT2	ORW2
ACVRL1	ALK1	ORW2
ACVRL1	HHT	ORW2
ADAM1A	FTNAP	ADAM1
ADAM1A	PH-30a	ADAM1
ADAM1A	Ftna	ADAM1
ADAM1A	ADAM1P	ADAM1
ADAM2	PH-30b	FTNB
ADAM2	PH30	FTNB
ADAM2	CT15	FTNB
ADAM3A	ADAM3	CYRN1
ADAM3A	tMDCI	CYRN1
ADAM3B		CYRN2
ADAM5	tMDCII	ADAM5P
ADAM6	tMDCIV	C14orf96
ADAM9	MDC9	CORD9
ADAM9	KIAA0021	CORD9
ADAM9	MCMP	CORD9
ADAM9	Mltng	CORD9
ADAM11		MDC
ADAM17	cSVP	TACE
ADAM17	CD156B	TACE
ADAM20P1		C14orf55
ADAM21P1		ADAM21P
ADAM33	DKFZp434K0521	C20orf153
ADAM33	dJ964F7.1	C20orf153
ADAMTS7P1		ADAMTS7P2
ADAMTS13	VWFCP	C9orf8
ADAMTS13	TTP	C9orf8
ADAMTS13	vWF-CP	C9orf8
ADAMTS13	FLJ42993	C9orf8
ADAMTS13	MGC118899	C9orf8
ADAMTS13	MGC118900	C9orf8
ADAMTS13	DKFZp434C2322	C9orf8
ADAMTS18		ADAMTS21
ADAMTSL1	ADAMTSR1	C9orf94
ADAMTSL1	FLJ35283	C9orf94
ADAMTSL4	DKFZP434K1772	TSRC1
ADAMTSL4-AS1	FLJ45786	C1orf138
ADAMTSL5		THSD6
ADAP1	GCS1L	CENTA1
ADAP2		CENTA2
ADAR	ADAR1	IFI4
ADAR	ADAR1	G1P1
ADARB2-AS1	bA466B20.1	C10orf109
ADARB2-AS1	bA466B20.1	NCRNA00168
ADAT2	dJ20N2.1	DEADC1
ADAT2	TAD2	DEADC1
ADCK3	COQ8	CABC1
ADCK3	SCAR9	CABC1
ADCY8	HBAC1	ADCY3
ADCY8	AC8	ADCY3
ADD3		ADDL
ADGB	FLJ23121	C6orf103
ADGB	dJ408K24.1	C6orf103
ADGB	CAPN16	C6orf103
ADGRA1	KIAA1828	GPR123
ADGRA1-AS1		GPR123-AS1
ADGRA2	TEM5	GPR124
ADGRA2	DKFZp434C211	GPR124
ADGRA2	DKFZp434J0911	GPR124
ADGRA2	KIAA1531	GPR124
ADGRA2	FLJ14390	GPR124
ADGRA3	FLJ38547	GPR125
ADGRA3	PGR21	GPR125
ADGRB1		BAI1
ADGRB2		BAI2
ADGRB3	KIAA0550	BAI3
ADGRD1	DKFZp434B1272	GPR133
ADGRD1	PGR25	GPR133
ADGRD2	PGR24	GPR144
ADGRE1		TM7LN3
ADGRE1		EMR1
ADGRE2	CD312	EMR2
ADGRE3		EMR3
ADGRE4P	PGR16	GPR127
ADGRE4P	PGR16	EMR4
ADGRE4P	PGR16	EMR4P
ADGRE5	TM7LN1	CD97
ADGRF1	hGPCR36	GPR110
ADGRF1	PGR19	GPR110
ADGRF2	hGPCR35	GPR111
ADGRF2	PGR20	GPR111
ADGRF3	hGPCR37	GPR113
ADGRF3	PGR23	GPR113
ADGRF4	FLJ38076	GPR115
ADGRF4	PGR18	GPR115
ADGRF5	DKFZp564O1923	GPR116
ADGRF5	KIAA0758	GPR116
ADGRF5P1		GPR116P1
ADGRF5P2		GPR116P2
ADGRG1	TM7LN4	GPR56
ADGRG1	TM7XN1	GPR56
ADGRG2	HE6	GPR64
ADGRG2	TM7LN2	GPR64
ADGRG2	EDDM6	GPR64
ADGRG3	Pb99	GPR97
ADGRG3	PGR26	GPR97
ADGRG4	RP1-299I16	GPR112
ADGRG4	PGR17	GPR112
ADGRG5	PGR27	GPR114
ADGRG6	FLJ14937	GPR126
ADGRG7	FLJ14454	GPR128
ADGRL1	KIAA0821	LPHN1
ADGRL1	CIRL1	LPHN1
ADGRL1	LEC2	LPHN1
ADGRL2	KIAA0786	LPHH1
ADGRL2	LEC1	LPHH1
ADGRL2	KIAA0786	LPHN2
ADGRL2	LEC1	LPHN2
ADGRL3	KIAA0768	LPHN3
ADGRL3	LEC3	LPHN3
ADGRL3-AS1		LPHN3-AS1
ADGRL4	ETL	ELTD1
ADGRV1	DKFZp761P0710	USH2C
ADGRV1	KIAA0686	USH2C
ADGRV1	FEB4	USH2C
ADGRV1	VLGR1	USH2C
ADGRV1	DKFZp761P0710	MASS1
ADGRV1	KIAA0686	MASS1
ADGRV1	FEB4	MASS1
ADGRV1	VLGR1	MASS1
ADGRV1	DKFZp761P0710	GPR98
ADGRV1	KIAA0686	GPR98
ADGRV1	FEB4	GPR98
ADGRV1	VLGR1	GPR98
ADH1A		ADH1
ADH1B		ADH2
ADH1C		ADH3
ADH5	ADH-3	FDH
ADH5	ADHX	FDH
ADH5P4	bA707M13.2	ADH5B
ADIPOQ	ACRP30	ACDC
ADIPOQ	AdipoQ	ACDC
ADIPOQ	apM1	ACDC
ADIPOQ	GBP28	ACDC
ADIPOQ	adiponectin	ACDC
ADIRF	APM2	C10orf116
ADIRF	AFRO	C10orf116
ADM5	AM5	C19orf76
ADNP2	KIAA0863	ZNF508
ADO	FLJ14547	C10orf22
ADORA2A	RDC8	ADORA2
ADORA2A-AS1	FLJ34651	C22orf45
ADORA2BP1		ADORA2BP
ADPRM	MDS006	C17orf48
ADRA1A	ADRA1L1	ADRA1C
ADRA2A	ADRAR	ADRA2
ADRA2A	ADRAR	ADRA2R
ADRA2B	ADRARL1	ADRA2L1
ADRA2B	ADRARL1	ADRA2RL1
ADRA2C	ADRARL2	ADRA2L2
ADRA2C	ADRARL2	ADRA2RL2
ADRB1		ADRB1R
ADRB2	ADRBR	ADRB2R
ADRB2	BAR	ADRB2R
ADRB2	B2AR	ADRB2R
ADTRP	dJ413H6.1	C6orf105
ADTRP	AIG1L	C6orf105
AEN	FLJ12484	ISG20L1
AEN	FLJ12562	ISG20L1
AFAP1-AS1	MGC10981	AFAP1AS
AFAP1-AS1	MGC10981	AFAP1-AS
AFAP1L2	FLJ14564	KIAA1914
AFAP1L2	Em:AC005383.4	KIAA1914
AFAP1L2	XB130	KIAA1914
AFF1	AF-4	PBM1
AFF1	AF4	PBM1
AFF1	AF-4	MLLT2
AFF1	AF4	MLLT2
AFF2	FRAXE	FMR2
AFF3	MLLT2-like	LAF4
AFG3L1P		AFG3
AFG3L1P		AFG3L1
AFG3L2	SPAX5	SCA28
AFG3L2P1		AFG3L2P
AFP	FETA	HPAFP
AGAP1	KIAA1099	CENTG2
AGAP1	GGAP1	CENTG2
AGAP2		CENTG1
AGAP3		CENTG3
AGAP4	Em:AC012044.1	CTGLF1
AGAP4	MRIP2	CTGLF1
AGAP4	Em:AC012044.1	AGAP8
AGAP4	MRIP2	AGAP8
