"GLA_genenames"	"GLA_pvalue"
"TGM1"	0.004674224
"ETV2"	0.008924632
"OR1D2"	0.005218546
"PLA2G16"	0.006961806
"GABRB1"	0.007321283
"SPDYC"	0.008201593
"MTHFS"	0.005122038
"HOXD1"	0.010021957
"C11orf30"	0.004163603
"TM4SF19"	0.007044016
"LYPD4"	0.007503064
"PLEKHO1"	0.006575266
"TNFRSF8"	0.009800347
"CMPK2"	0.007188011
"RPL12"	0.006605392
"CCPG1"	0.008122958
"ZNF774"	0.001215278
"MFSD3"	0.008291462
"MYO1E"	0.004143689
"SPP2"	0.003110703
"BTRC"	0.00370915
"STARD9"	0.59401348
"MLH1"	0.007103248
"BTBD9"	0.008085172
"PAX5"	0.011034518
"CC2D1A"	0.005678105
"B4GALNT1"	0.007625102
"KBTBD4"	0.00666156
"ABR"	0.01176777
"SCAMP2"	0.008288399
"CCDC87"	0.004829453
"NACC1"	0.013134191
"MSL2"	0.011316891
"SH2B1"	0.009010927
"DPYSL2"	0.011308721
"PRB4"	0.005520833
"IL3"	0.00688317
"NTNG1"	0.009510825
"NCOA6"	0.012353962
"RABEP1"	0.005915033
"LARP4B"	0.011575266
"PTPRM"	0.00523846
"TOR1AIP2"	0.009134498
"TFAP2C"	0.011199959
"UBN2"	0.004871324
"ASAH2"	0.013096916
"CDC42BPB"	0.002667994
"ARHGAP44"	0.010189951
"ERI1"	0.004157986
"KCNS3"	0.011378166
"SMARCE1"	0.009760008
"FLRT2"	0.014596609
"ADCY9"	0.018975184
"LTN1"	0.005529003
"OLFM3"	0.009165135
"LRRC4"	0.014849367
"TBX21"	0.011209661
"PBX1"	0.006221405
"ZWILCH"	0.006722835
"PRKCA"	0.007944751
"PDCD1"	0.00931781
"PHF21A"	0.008652982
"USP15"	0.004689542
"LRFN2"	0.019372447
"MGRN1"	0.015446793
"FAM180B"	0.012971303
"CBX4"	0.016851511
"TROVE2"	0.006375613
"LRRFIP1"	0.005002553
"SUFU"	0.008029003
"FERMT1"	0.008444649
"APBB1"	0.015120507
"MBNL1"	0.006599265
"CPD"	0.008942504
"SLC2A7"	0.009129391
"MUC12"	0.913448223
"LRIT2"	0.001169833
"ASB4"	0.00801777
"BIRC3"	0.010863971
"C4orf36"	0.003504391
"XKR6"	0.01592065
"CELF4"	0.014280025
"SYT1"	0.008432904
"LCE1B"	0.011541565
"ZMYND11"	0.012295241
"NMT1"	0.011526757
"PIGZ"	0.001894404
"KDM1B"	0.011959763
"BTBD6"	0.012078738
"IFI30"	0.010700572
"ST3GAL6"	0.006272467
"OR10Z1"	0.007240605
"REXO1"	0.021193321
"KDM3A"	0.004173305
"LDB1"	0.010051573
"PCSK2"	0.015280331
"NFIA"	0.010352328
"SKI"	0.016698836
"ABI2"	0.007359579
"PLA2G7"	0.004624183
"ADCY5"	0.010356413
"SPRED2"	0.013376225
"HIST1H2AE"	0.014097222
"MIB1"	0.000104677
"MPHOSPH8"	0.015506536
"ASB17"	0.010955882
"NEDD9"	0.016896957
"KLB"	0.016580372
"MORC3"	0.011435355
"RCBTB1"	0.011436887
"FAM161B"	0.002100184
"PPDPF"	0.010462623
"FAM45A"	0.005498366
"DSG3"	0.008086193
"SRSF11"	0.011089665
"KRT16"	0.007000613
"FAM169A"	0.01120864
"THAP5"	0.008096916
"LCN12"	0.005037275
"DOHH"	0.01395527
"ROBO4"	0.002166565
"UBE2R2"	0.014018587
"NPBWR1"	0.015365605
"INSC"	0.006790748
"PM20D1"	0.004305045
"EIF2AK2"	0.010311989
"VIL1"	0.000465176
"RASAL1"	0.005088848
"TBC1D23"	0.006092729
"PTPRR"	0.012141544
"DDX3X"	0.013572304
"GOLGA5"	0.008500817
"CACNA1D"	0.008122447
"SECTM1"	0.015064338
"MICAL2"	0.015836908
"RPS6KA3"	0.01229473
"GOPC"	0.009973448
"ZC3H14"	0.008857741
"CTNNB1"	0.013916973
"ZBTB49"	0.011922998
"SNW1"	0.010906863
"TMBIM6"	0.004328023
"UPF3B"	0.009923407
"MCAM"	0.004990809
"MRPL50"	0.007650633
"RELN"	0.001681475
"SRCAP"	0.019020629
"FBXW11"	0.007423917
"AKAP9"	0.000434028
"PYHIN1"	0.009257557
"VPS54"	0.004832516
"BAZ2B"	0.001796364
"TSPAN17"	0.00932547
"ECM2"	0.006073325
"TCF4"	0.013324653
"NFATC2IP"	0.014766646
"NCF4"	0.011124387
"AMOTL1"	0.012166054
"KIAA0100"	0.002001123
"GYG2"	0.020054636
"VCPIP1"	0.021276552
"PROKR2"	0.015481005
"ZNF568"	0.002390727
"SLC35C2"	0.012059334
"C11orf85"	0.008255719
"STXBP5"	0.004381638
"VCP"	0.015579044
"EP300"	0.013175551
"OPRL1"	0.01989328
"SIRPB2"	0.013397672
"VNN1"	0.007186479
"BIRC6"	0.00972018
"CNGB3"	0.002389195
"MSH4"	0.003971609
"SBF1"	0.075573938
"STXBP1"	0.011222937
"PFKFB2"	0.007490809
"ARID5B"	0.02265625
"DUS1L"	0.009945364
"FBLIM1"	0.014765114
"IFT88"	0.013160233
"SLC6A8"	0.013457414
"GRAMD2"	0.009672692
"SGSM3"	0.014815666
"SMAP2"	0.013398693
"SLCO1B1"	0.001902063
"TUBA1A"	0.015209865
"GSDMC"	0.003969567
"LTK"	0.001298509
"CRTC3"	0.011377145
"UNC45B"	0.016564032
"ZBTB5"	0.021725388
"EML3"	0.01029565
"SHB"	0.018476307
"MAK"	0.011261744
"NOP14"	0.018271548
"KRT24"	0.004781454
"HIST1H4C"	0.009610396
"CHGA"	0.016875
"GAL3ST1"	0.025341605
"KLHL28"	0.019015523
"HIVEP3"	0.030656658
"KANSL2"	0.017020016
"GMPPB"	0.015965584
"CHMP1A"	0.014501634
"ZNF681"	0.009992851
"ZNF423"	0.040006127
"CTTNBP2"	0.000339563
"DLL1"	0.016793811
"CERS4"	0.002895731
"ANKFN1"	0.005488664
"APCDD1L"	0.018368566
"WRNIP1"	0.021462418
"SLC16A10"	0.017889093
"AGGF1"	0.010050041
"MCM6"	0.012668505
"TMEM52"	0.018466605
"CNOT3"	0.015236417
"KRTAP1-1"	0.01876685
"OR2D3"	0.010565768
"NTN1"	0.023550347
"OR13C8"	0.010772059
"PRDM16"	0.047731311
"SORCS3"	0.005856311
"RUNDC3B"	0.013596814
"TTK"	0.013123979
"ARHGEF16"	0.014538909
"CST9"	0.015546364
"KCND3"	0.018613664
"AMBP"	0.009300449
"ADSS"	0.009852431
"MRPS14"	0.011873468
"PRR25"	0.015570874
"GLUL"	0.016987847
"CSF1"	0.01926011
"CAPN8"	0.011524203
"NIF3L1"	0.003746426
"POLD1"	0.011178002
"ZNF33A"	0.014729371
"CPZ"	0.004477635
"TYW5"	0.011338848
"PAK6"	0.025604575
"YTHDC1"	0.013346099
"JARID2"	0.031645731
"ZNF598"	0.027736417
"LMTK3"	0.018931781
"UBXN2A"	0.01938317
"EXOSC7"	0.01395527
"PARN"	0.016400633
"LGALS3BP"	0.016525735
"RRBP1"	0.015809845
"RALGAPB"	0.018237337
"ITGA5"	0.015543811
"ECHDC3"	0.018567198
"FOXP2"	0.012445364
"CD151"	0.021059538
"PCTP"	0.018247038
"NEK10"	0.019183517
"C20orf194"	0.013696385
"PCM1"	0.012192606
"TRAF7"	0.027793607
"GPRIN1"	0.025587725
"NDST4"	0.011165748
"LRRC43"	0.00708844
"ANO9"	0.015891033
"TMEM171"	0.009422488
"TTC39A"	0.017026654
"USP29"	0.017612847
"ASZ1"	0.016660029
"ACOX2"	0.016837725
"TRIM23"	0.0188077
"ZDHHC2"	0.019912173
"SH3BGR"	0.005975286
"SMARCC2"	0.018518178
"BRF2"	0.019314236
"LRPAP1"	0.026180556
"ZFYVE26"	0.009079861
"ATIC"	0.005770016
"BNIP1"	0.008851614
"IL7R"	0.012314134
"SERPINB9"	0.007929432
"INTS10"	0.023339971
"GLUD1"	0.022002145
"KANK1"	0.014068627
"SLC6A13"	0.020705167
"NME9"	0.015029616
"ECI1"	0.01620047
"FAM98B"	0.020799632
"DHX29"	0.006222937
"IGSF3"	0.029871324
"PIK3R2"	0.021114685
"SLC16A5"	0.019076287
"NHSL1"	0.084680862
"TRPM3"	0.012583742
"KRT19"	0.019563419
"RDH8"	0.020340584
"WDR81"	0.019932087
"TNRC18"	0.132658292
"KIAA2018"	0.036859171
"MRRF"	0.016701389
"PRPF8"	0.02935866
"GNPTG"	0.013669322
"ASB14"	0.017211499
"PDILT"	0.018349163
"LCN10"	0.017375408
"TPSD1"	0.026234171
"DEAF1"	0.026196895
"CD163L1"	0.004511846
"PIRT"	0.021311785
"STEAP4"	0.01225337
"KPNA1"	0.017311581
"MSLNL"	0.005628064
"DECR1"	0.010929841
"TMEM133"	0.021042177
"ZNF574"	0.035192504
"DLGAP2"	0.066210682
"SCP2"	0.016123877
"GABRR2"	0.017500511
"OCM"	0.021051368
"CDC73"	0.01075623
"PDIA6"	0.025462112
"ESCO2"	0.013506434
"ABCG1"	0.023916973
"RAPGEF3"	0.014721712
"OSBPL3"	0.021766238
"SHANK2"	0.025886438
"REPIN1"	0.02392259
"ZFP2"	0.021103962
"KLHL6"	0.025247141
"RIMBP2"	0.02920241
"DBF4B"	0.021387868
"KRTAP9-3"	0.028476818
"ANGPT2"	0.025785335
"KIAA0232"	0.028233762
"DPY19L3"	0.012777778
"STRN"	0.017926879
"CCL5"	0.028192402
"RIC8A"	0.031525225
"MOV10"	0.021239788
"PRAME"	0.022121119
"RBP5"	0.0217596
"OR4C46"	0.023767872
"OR4A47"	0.023507455
"GNAS"	0.023339461
"FPGS"	0.015118975
"SLC8A2"	0.052833946
"DEFA6"	0.01446538
"NUDT6"	0.016330167
"ARHGDIB"	0.02277165
"BTN1A1"	0.020046467
"EDDM3A"	0.017847733
"DHX57"	0.014411765
"MGAT4B"	0.017950878
"CDAN1"	0.016558415
"RBMS3"	0.023817913
"C2orf73"	0.02325674
"SPATA13"	0.025475899
"CAP2"	0.018101001
"ZNF614"	0.020998775
"MYH11"	0.02571538
"PRDM9"	0.0124423
"WDFY4"	0.345915543
"TTLL3"	0.011347018
"CIC"	0.048647876
"PHF19"	0.022059845
"RANBP3L"	0.022712418
"SLC24A1"	0.017950368
"OR1A2"	0.020298713
"CYP2A13"	0.030695466
"WDR88"	0.019833538
"CSF2RB"	0.019000715
"ZNF528"	0.009129902
"NXPH1"	0.032942198
"CA6"	0.025686785
"CD1A"	0.015884395
"PSMG4"	0.041800449
"HDLBP"	0.005613256
"XPO5"	0.020111826
"TRPM5"	0.019946385
"ASB1"	0.024582312
"NIPAL2"	0.017446385
"EHD2"	0.04475337
"DIP2C"	0.066296467
"RARRES3"	0.01892259
"SCNN1D"	0.025206291
"FBXL13"	0.005328329
"ZNF644"	0.033110192
"PRKD1"	0.019608354
"BCCIP"	0.012509191
"ZNHIT6"	0.02441585
"PAPOLG"	0.021325572
"FLYWCH1"	0.013655535
"GZMM"	0.035253268
"PAPD5"	0.024390829
"CYP2J2"	0.008775531
"SLITRK6"	0.031631434
"MPO"	0.016800449
"PEPD"	0.031785641
"DUSP15"	0.031079963
"MYO7B"	0.009634395
"KRT71"	0.030015829
"CLEC2L"	0.02217116
"NBEA"	0.01552594
"GIGYF2"	0.002373877
"DGAT1"	0.007655739
"CUL1"	0.014909109
"WDR17"	0.000342627
"TKTL2"	0.022738971
"IGFBP7"	0.017627145
"LRRC19"	0.0335769
"C4orf27"	0.014478656
"ZYG11A"	0.031874489
"KIAA2022"	0.040847631
"NLRX1"	0.008325674
"REM1"	0.026047283
"TMEM217"	0.016061581
"SMYD1"	0.028493158
"ATP10D"	0.011830576
"ASB16"	0.01652931
"OR11L1"	0.035318117
"TLE3"	0.02549377
"MYOZ1"	0.024731413
"FAM91A1"	0.009500613
"ADD3"	0.01195721
"SLFN14"	0.126708027
"ACER2"	0.029019097
"TAOK2"	0.033273591
"GRIK5"	0.040160335
"KCNJ15"	0.031831597
"TREML1"	0.021016136
"PRKD2"	0.044780944
"SIK3"	0.025331393
"CYP4F12"	0.012391748
"SNF8"	0.024948427
"PLXNB1"	0.020348754
"ZNF451"	0.006653901
"SLC7A7"	0.025475899
"AVEN"	0.01955627
"PNPLA7"	0.005801675
"ARVCF"	0.055088848
"RAG2"	0.023532475
"NCAPG"	0.021337827
"ACTR6"	0.015791462
"TMEM14E"	0.038627962
"MED6"	0.022833946
"ACSM5"	0.021474163
"SNAPC5"	0.038164828
"SSTR4"	0.037184436
"TSSK2"	0.048199551
"CEBPG"	0.042405535
"BRF1"	0.023334865
"PAPL"	0.025233864
"PIGL"	0.017340686
"SLC10A1"	0.018085172
"EXOSC8"	0.019849367
"CA14"	0.008656556
"CD300LG"	0.022792075
"FCAR"	0.029382149
"OSBPL8"	0.018825061
"MAD1L1"	0.024584865
"LAMB1"	0.007901859
"KIAA1161"	0.091004902
"MRFAP1"	0.050187398
"HNRNPUL1"	0.032948836
"ZNF292"	0.058958333
"RGS1"	0.029627757
"TRDMT1"	0.03478656
"TFAP4"	0.046902574
"ARFGAP2"	0.028937398
"CGGBP1"	0.04145527
"GPS1"	0.033630515
"ADAM33"	0.030425347
"EIF3G"	0.045785335
"PHF3"	0.026919935
"EPHB2"	0.050556577
"CAB39L"	0.020840482
"RCN3"	0.040069955
"UPF3A"	0.016930658
"VCX3B"	0.052061377
"SEMA6A"	0.028510008
"EID1"	0.050958946
"SH3RF3"	0.037546467
"MKX"	0.045882353
"PCDHB16"	0.035226716
"OR5B21"	0.049706393
"MYB"	0.022915645
"OR6C3"	0.048675449
"DUSP3"	0.044428105
"LRP6"	0.028664216
"RAN"	0.031430249
"TBC1D2"	0.029685458
"BAAT"	0.022488256
"SLC25A41"	0.021244383
"SUPT16H"	0.029256025
"PFKL"	0.03185866
"STRN3"	0.03046058
"SULT1A1"	0.018580474
"GADD45B"	0.051591095
"MXD4"	0.0501394
"SLAMF9"	0.019737541
"THSD7A"	0.031713644
"RORA"	0.027650123
"RFX3"	0.032064951
"TWF1"	0.033671875
"AMY2B"	0.020688317
"SRD5A3"	0.022547998
"PLAT"	0.02470435
"TPBG"	0.05408752
"ZNF18"	0.024629289
"CRBN"	0.023199551
"SLC25A27"	0.025511642
"CUX2"	0.041808619
"THSD4"	0.028699959
"GLI3"	0.054207516
"LGSN"	0.023830167
"IGFLR1"	0.021676879
"TSR2"	0.045696998
"EMCN"	0.022999387
"RNF6"	0.025583129
"CTNNA3"	0.017070568
"C2orf70"	0.049767667
"APEX2"	0.052580678
"FBXL16"	0.064796773
"ATF7IP2"	0.031456801
"SCN11A"	0.007258987
"DEFB134"	0.035164931
"TSC2"	0.068972631
"DNAJB9"	0.04342116
"ZNF551"	0.031439951
"SPICE1"	0.02058364
"NT5C1A"	0.02622498
"TEX2"	0.025096507
"NFYA"	0.035074551
"KCTD6"	0.047832925
"NAPA"	0.039371936
"SLFN5"	0.012848754
"RPL14"	0.0453702
"AP2S1"	0.044921875
"SERPINB4"	0.018374183
"TRPV5"	0.021898489
"KCTD20"	0.032883987
"MAPK3"	0.045211397
"MBD2"	0.034097733
"B9D1"	0.043560049
"GLCCI1"	0.041272467
"HSPB2"	0.048279208
"AFP"	0.012895221
"PGRMC1"	0.055538194
"PARD3B"	0.011928615
"DRAM2"	0.016588031
"STYXL1"	0.018175041
"CAP1"	0.02883221
"FOXD3"	0.042169118
"BAP1"	0.038607026
"CREBBP"	0.058661152
"MYOCD"	0.042601103
"MINPP1"	0.034623672
"ZYX"	0.033365502
"RPL39L"	0.035031148
"RHOT2"	0.02206444
"SCG2"	0.048967014
"VEZF1"	0.044859579
"FAM198A"	0.068972631
"CD79A"	0.04934181
"PERP"	0.050397263
"ADAM20"	0.028937908
"RETN"	0.040191483
"AHSP"	0.037584252
"GTPBP3"	0.043866932
"CCDC116"	0.031290339
"AADAC"	0.03104422
"TMC2"	0.011116728
"WWC2"	0.013093342
"HTR1D"	0.063556475
"RTP2"	0.053661152
"TIMM10"	0.03703125
"CCL27"	0.037327921
"DGCR14"	0.059493464
"C8orf4"	0.038674428
"RFX8"	0.065368668
"SHOX"	0.060146548
"C5orf64"	0.037923815
"PRPF40A"	0.011387357
"EIF3J"	0.043345078
"C10orf90"	0.027057292
"ARHGEF10L"	0.066032986
"DENR"	0.038824551
"ROMO1"	0.039596099
"ANGPTL3"	0.018745404
"RAB11FIP2"	0.034151859
"C8orf22"	0.036119792
"MAP2K1"	0.038191891
"DTHD1"	0.091128472
"PPARGC1B"	0.036882149
"UBAP2"	0.017233967
"CARS2"	0.028327717
"VPS25"	0.046335274
"ST13"	0.036601307
"CETN1"	0.046466503
"POU6F1"	0.056831087
"SWAP70"	0.045212418
"ADCY3"	0.050081699
"PDS5A"	0.033045854
"GIMAP2"	0.007150735
"NTN5"	0.032491319
"KCNQ3"	0.030658701
"TMED7"	0.046664624
"PGA5"	0.069240196
"B3GNT4"	0.014593035
"IGFL2"	0.039475082
"SUCLA2"	0.023307292
"GALNT3"	0.027287071
"OR4K2"	0.046196895
"TNFRSF17"	0.043254187
"LHFPL3"	0.055314542
"ELOVL1"	0.051007966
"DEFB119"	0.029133476
"KRT80"	0.048935355
"DUSP18"	0.044552696
"CCL14"	0.037515829
"SCAF4"	0.029768689
"KRTAP5-5"	0.046112132
"PDSS2"	0.040489175
"MERTK"	0.016049326
"PRLH"	0.04007404
"CCDC110"	0.010579555
"PSMC5"	0.040761336
"OR51A7"	0.046183109
"GATA4"	0.060426879
"MKS1"	0.02536969
"TP73"	0.050323223
"SRP14"	0.040042892
"OR2AG1"	0.047897774
"FAM107A"	0.0419904
"ART1"	0.008342014
"GLDC"	0.02917739
"RBM27"	0.016181066
"RPAP1"	0.020363051
"LENG9"	0.021954146
"YWHAG"	0.062118056
"SASH1"	0.029490911
"HRCT1"	0.03352788
"LRFN5"	0.045779718
"SDC3"	0.070862439
"ARPC4-TTLL3"	0.038954759
"OAF"	0.054733967
"OR10AG1"	0.046474673
"EIF5A"	0.041892872
"KLC2"	0.037214563
"OR8H3"	0.047916667
"IGLL1"	0.04745864
"MKL2"	0.050784824
"ZNF596"	0.009312704
"FABP9"	0.038579453
"OR8H2"	0.049019097
"ACSBG2"	0.02886489
"TBX22"	0.047060866
"SLC1A4"	0.044056373
"CHD3"	0.036232128
"SLC25A29"	0.072098141
"OR2T35"	0.053265931
"MAP7"	0.021646242
"SCRT1"	0.065125102
"TTC32"	0.033309334
"HINT2"	0.038983864
"GFER"	0.032868158
"GSS"	0.02549326
"AKR1B15"	0.028661663
"SETD2"	0.026627859
"ACP2"	0.04085529
"MED13"	0.039181475
"CCDC125"	0.023691789
"HRH2"	0.063152574
"OR2V2"	0.048742341
"OR13J1"	0.055129187
"DMRT2"	0.037489788
"SPO11"	0.015597937
"MRPS28"	0.045325266
"ACTR3C"	0.045730699
"FBN1"	0.024320874
"MDM2"	0.039209048
"PRB1"	0.040862439
"TUBB8"	0.083081597
"METTL7A"	0.045754698
"ESPN"	0.070503472
"DMBX1"	0.069752349
"NSUN7"	0.023687704
"DAPK1"	0.042104269
"RNF182"	0.035795547
"KLRB1"	0.041844873
"HAX1"	0.01769761
"TBC1D28"	0.037307496
"ARF1"	0.049223346
"NRM"	0.047010825
"ZNF804A"	0.044907067
"HGF"	0.019411765
"LIN28A"	0.049697202
"PSMG2"	0.046877553
"VAMP5"	0.032643484
"USP46"	0.054340278
"RAB18"	0.041448632
"EPN2"	0.067047079
"ARNTL2"	0.025509089
"ZNF382"	0.064894812
"PDYN"	0.037412684
"ZNF778"	0.099187602
"ELAVL3"	0.079959661
"NDRG4"	0.033910335
"OR2S2"	0.038611622
"ENY2"	0.037531148
"EGR3"	0.095768995
"FLVCR1"	0.022304432
"TAS2R9"	0.035983456
"C5orf58"	0.03019761
"SGSH"	0.033457414
"METTL21B"	0.04482741
"ANO5"	0.017723141
"PIM1"	0.053059641
"NAA40"	0.050950776
"NAT6"	0.050207312
"SF3B1"	0.014574653
"DNAJB6"	0.033419628
"FAM96A"	0.0417356
"MAP2K7"	0.079655842
"TMEM201"	0.07401297
"REG1B"	0.040383476
"GPCPD1"	0.042057802
"SLC6A3"	0.07722069
"HSCB"	0.046183619
"SNRNP70"	0.04151297
"BLVRB"	0.050811377
"CTH"	0.018957823
"NT5C2"	0.01893893
"DCAF4L2"	0.070464154
"RFC5"	0.03496732
"NAV2"	0.136885212
"DYNC1LI2"	0.049025735
"AKR1C2"	0.053071385
"EVI2B"	0.052734375
"C7orf33"	0.042480086
"SLC16A9"	0.064056883
"MAFA"	0.042464257
"WLS"	0.032476001
"SRRM3"	0.056796875
"ZNF410"	0.019557802
"NMNAT1"	0.035959457
"OR2Z1"	0.041784109
"CEP19"	0.039962214
"FRMD6"	0.034154922
"PUS7"	0.020433517
"GNRHR"	0.051501736
"DFNA5"	0.012893689
"GRK4"	0.02434232
"TBC1D22B"	0.050309436
"GNB5"	0.02629902
"OLR1"	0.045417177
"C5orf15"	0.049713031
"LGALS13"	0.03269761
"TMEM40"	0.045308926
"DIO2"	0.04995915
"DUSP27"	0.019966299
"CHP2"	0.047843648
"BCL2L10"	0.039132455
"KAT6A"	0.039403595
"AICDA"	0.049686479
"GNAI1"	0.05731107
"PIAS2"	0.025696487
"HOXA6"	0.057999387
"GDF3"	0.05345435
"GLRA2"	0.064392361
"ETHE1"	0.052323836
"ZNF562"	0.048331801
"AKR1D1"	0.017991217
"MPHOSPH6"	0.031650837
